Source.Name,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
season-0809,19/10/2008,Valladolid,Recreativo,1,1,D,0,1,A,10,12,6,4,10,10,3,3,1,2,0,0
season-0809,25/10/2008,Barcelona,Almeria,5,0,H,5,0,H,13,6,9,2,13,15,6,6,0,3,0,1
season-0809,25/10/2008,Osasuna,Betis,0,2,A,0,0,D,13,17,6,5,11,10,1,5,1,0,0,0
season-0809,26/10/2008,Getafe,Valladolid,1,0,H,1,0,H,14,11,6,0,15,22,6,4,2,3,0,0
season-0809,26/10/2008,La Coruna,Sp Gijon,0,3,A,0,2,A,18,14,5,8,9,14,10,3,2,3,1,0
season-0809,26/10/2008,Mallorca,Espanol,3,0,H,0,0,D,13,9,6,3,22,15,9,0,3,2,0,0
season-0809,26/10/2008,Numancia,Santander,2,1,H,1,0,H,9,16,3,2,24,15,4,6,3,3,0,0
season-0809,26/10/2008,Real Madrid,Ath Bilbao,3,2,H,2,2,D,20,15,6,5,15,16,7,6,4,3,0,1
season-0809,26/10/2008,Recreativo,Valencia,1,1,D,0,0,D,6,14,3,6,20,11,3,5,4,2,0,0
season-0809,26/10/2008,Sevilla,Malaga,0,1,A,0,1,A,10,8,3,6,18,19,7,3,3,2,1,0
season-0809,26/10/2008,Villarreal,Ath Madrid,4,4,D,0,2,A,23,8,14,5,13,19,10,3,2,2,0,1
season-0809,01/11/2008,Ath Bilbao,Villarreal,1,4,A,1,1,D,15,14,6,6,23,21,5,2,4,2,0,0
season-0809,01/11/2008,Ath Madrid,Mallorca,2,0,H,2,0,H,12,19,3,8,18,18,2,8,2,3,0,0
season-0809,01/11/2008,Malaga,Barcelona,1,4,A,1,2,A,5,14,2,4,19,24,1,4,2,3,0,0
season-0809,01/11/2008,Valencia,Santander,2,4,A,1,1,D,11,11,7,4,17,19,4,4,2,3,0,0
season-0809,02/11/2008,Almeria,Real Madrid,1,1,D,0,1,A,15,13,3,6,25,11,5,3,4,2,0,0
season-0809,02/11/2008,Betis,La Coruna,0,3,A,0,0,D,20,15,7,7,13,14,13,1,1,1,1,0
season-0809,02/11/2008,Espanol,Osasuna,1,0,H,0,0,D,10,14,3,3,27,21,1,2,1,2,0,0
season-0809,02/11/2008,Recreativo,Getafe,1,1,D,0,0,D,8,17,3,3,25,17,1,3,2,4,1,0
season-0809,02/11/2008,Sp Gijon,Numancia,3,1,H,1,1,D,18,9,6,3,25,20,2,3,2,4,0,0
season-0809,02/11/2008,Valladolid,Sevilla,3,2,H,1,2,A,15,6,6,4,17,17,5,1,2,5,0,1
season-0809,08/11/2008,Barcelona,Valladolid,6,0,H,4,0,H,22,3,13,2,9,9,9,5,1,1,0,0
season-0809,08/11/2008,Real Madrid,Malaga,4,3,H,2,2,D,25,20,12,9,21,14,5,2,3,2,1,0
season-0809,09/11/2008,Getafe,Valencia,0,3,A,0,1,A,9,7,2,4,15,28,4,2,5,4,1,0
season-0809,09/11/2008,La Coruna,Espanol,1,0,H,1,0,H,14,10,3,4,11,17,6,5,1,2,0,0
season-0809,09/11/2008,Mallorca,Ath Bilbao,3,3,D,1,1,D,17,17,7,7,25,17,3,9,4,2,0,0
season-0809,09/11/2008,Numancia,Betis,2,4,A,1,3,A,13,15,7,6,22,15,4,1,2,2,0,0
season-0809,09/11/2008,Osasuna,Ath Madrid,0,0,D,0,0,D,15,14,4,3,16,16,9,4,1,1,0,0
season-0809,09/11/2008,Santander,Sp Gijon,1,0,H,0,0,D,9,9,1,2,19,23,5,4,4,2,0,0
season-0809,09/11/2008,Sevilla,Recreativo,1,0,H,0,0,D,10,13,3,3,18,18,6,7,2,2,0,0
season-0809,09/11/2008,Villarreal,Almeria,2,1,H,2,0,H,7,10,5,3,18,22,3,3,4,2,0,0
season-0809,15/11/2008,Valencia,Sp Gijon,2,3,A,0,1,A,21,12,8,5,15,21,7,3,2,2,0,0
season-0809,15/11/2008,Valladolid,Real Madrid,1,0,H,0,0,D,8,16,3,7,17,20,7,6,3,3,0,1
season-0809,16/11/2008,Almeria,Mallorca,2,1,H,1,0,H,15,10,6,5,21,18,6,5,1,2,0,0
season-0809,16/11/2008,Ath Bilbao,Osasuna,2,0,H,1,0,H,19,8,8,1,24,21,7,5,3,4,0,0
season-0809,16/11/2008,Ath Madrid,La Coruna,4,1,H,1,0,H,16,14,7,6,12,7,8,5,0,2,0,0
season-0809,16/11/2008,Betis,Santander,3,1,H,2,0,H,17,14,6,7,18,18,5,5,2,1,0,0
season-0809,16/11/2008,Espanol,Numancia,3,4,A,1,1,D,10,11,5,6,19,23,6,1,2,5,0,0
season-0809,16/11/2008,Getafe,Sevilla,0,2,A,0,1,A,14,8,3,3,8,17,6,2,2,2,0,0
season-0809,16/11/2008,Malaga,Villarreal,2,2,D,1,1,D,13,16,4,6,16,27,11,5,4,3,0,0
season-0809,16/11/2008,Recreativo,Barcelona,0,2,A,0,0,D,7,21,2,8,21,12,5,5,3,2,0,0
season-0809,22/11/2008,Real Madrid,Recreativo,1,0,H,1,0,H,23,7,7,2,17,22,5,5,1,3,0,0
season-0809,22/11/2008,Sevilla,Valencia,0,0,D,0,0,D,18,15,3,2,12,21,5,3,2,3,0,0
season-0809,22/11/2008,Villarreal,Valladolid,0,3,A,0,3,A,13,15,4,7,14,25,7,4,2,1,0,0
season-0809,23/11/2008,Barcelona,Getafe,1,1,D,0,1,A,14,7,4,4,19,20,13,5,3,4,0,0
season-0809,23/11/2008,La Coruna,Ath Bilbao,3,1,H,2,0,H,18,18,9,6,13,18,10,7,2,2,0,0
season-0809,23/11/2008,Mallorca,Malaga,2,2,D,1,2,A,27,14,11,5,20,17,9,1,3,3,0,0
season-0809,23/11/2008,Numancia,Ath Madrid,1,1,D,0,1,A,17,9,5,4,15,16,5,6,1,3,0,0
season-0809,23/11/2008,Osasuna,Almeria,3,1,H,1,1,D,17,7,8,2,16,19,6,3,3,3,0,1
season-0809,23/11/2008,Santander,Espanol,3,0,H,2,0,H,18,9,4,3,24,20,5,5,1,3,0,0
season-0809,23/11/2008,Sp Gijon,Betis,1,2,A,1,0,H,22,15,8,7,23,12,6,8,4,4,0,0
season-0809,29/11/2008,Getafe,Real Madrid,3,1,H,1,0,H,13,18,3,6,20,20,4,8,2,5,0,0
season-0809,29/11/2008,Sevilla,Barcelona,0,3,A,0,1,A,10,22,2,9,16,13,1,2,0,3,1,0
season-0809,30/11/2008,Almeria,La Coruna,0,1,A,0,0,D,5,13,1,4,18,14,6,1,3,4,1,0
